camera_id,camera,kind,category,visible_clusters,false_positive_clusters,candidate_instances,actual_visible_instances,instance_waste_ratio
19,orbit_e1_210,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
19,orbit_e1_210,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
19,orbit_e1_210,orbit,QueenForest,11532,29,575413,569882,0.009612226348726915
19,orbit_e1_210,orbit,RiverForest,12744,28,2268902,2247338,0.009504156636117382
19,orbit_e1_210,orbit,RiverSapling,1242,0,45000,45000,0.0
19,orbit_e1_210,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
20,orbit_e1_240,orbit,Anthurium,17,0,138,138,0.0
20,orbit_e1_240,orbit,Nettle,19,0,330,330,0.0
20,orbit_e1_240,orbit,ShrubSorrel,2476,0,630176,630176,0.0
20,orbit_e1_240,orbit,Shrub,48,0,11337,11337,0.0
20,orbit_e1_240,orbit,Grass_B,1351,0,339865,339865,0.0
20,orbit_e1_240,orbit,Grass_A,1104,0,280985,280985,0.0
20,orbit_e1_240,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
20,orbit_e1_240,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
20,orbit_e1_240,orbit,QueenForest,11546,28,577404,571836,0.00964316146060644
20,orbit_e1_240,orbit,RiverForest,12767,27,2274617,2252316,0.009804287930671405
20,orbit_e1_240,orbit,RiverSapling,1242,0,45000,45000,0.0
20,orbit_e1_240,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
21,orbit_e1_270,orbit,Anthurium,17,0,138,138,0.0
21,orbit_e1_270,orbit,Nettle,19,0,330,330,0.0
21,orbit_e1_270,orbit,ShrubSorrel,2476,0,630176,630176,0.0
21,orbit_e1_270,orbit,Shrub,48,0,11337,11337,0.0
21,orbit_e1_270,orbit,Grass_B,1351,0,339865,339865,0.0
21,orbit_e1_270,orbit,Grass_A,1104,0,280985,280985,0.0
21,orbit_e1_270,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
21,orbit_e1_270,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
21,orbit_e1_270,orbit,QueenForest,11498,24,582816,575353,0.01280507055399989
21,orbit_e1_270,orbit,RiverForest,12761,28,2287406,2256245,0.013622854884528588
21,orbit_e1_270,orbit,RiverSapling,1242,0,45000,45000,0.0
21,orbit_e1_270,orbit,RiverSeedling,9526,0,2266462,2266462,0.0
22,orbit_e1_300,orbit,Anthurium,17,0,138,138,0.0
22,orbit_e1_300,orbit,Nettle,19,0,330,330,0.0
22,orbit_e1_300,orbit,ShrubSorrel,2476,0,630176,630176,0.0
22,orbit_e1_300,orbit,Shrub,48,0,11337,11337,0.0
22,orbit_e1_300,orbit,Grass_B,1351,0,339865,339865,0.0
22,orbit_e1_300,orbit,Grass_A,1104,0,280985,280985,0.0
22,orbit_e1_300,orbit,Pyramid_Grass_B,185,0,44000,44000,0.0
22,orbit_e1_300,orbit,Pyramid_Moss,7953,0,2034610,2034610,0.0
22,orbit_e1_300,orbit,QueenForest,11591,20,586471,581813,0.007942421705421069
22,orbit_e1_300,orbit,RiverForest,12855,13,2294352,2275652,0.008150449451522697
22,orbit_e1_300,orbit,RiverSapling,1242,0,45000,45000,0.0
