material_id,material,runtime_source,metallic_constant,constant_used_by_shader,metallic_binding,metallic_texture,metallic_texture_id,metallic_channel,metallic_format,source_texture_path,source_channel_status,source_channel_min_u8,source_channel_max_u8,source_channel_mean_u8,source_nonzero_pixels,source_total_pixels,effective_nonzero,lod0_submesh_count,lod0_triangles,meshes
138,MI_Terrain_X4_Y0,texture_override,0.0,False,475,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X4_Y0_5
139,MI_Terrain_X3_Y0,texture_override,0.0,False,479,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X3_Y0_4
140,MI_Terrain_X2_Y0,texture_override,0.0,False,483,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y0_3
141,MI_Terrain_X1_Y0,texture_override,0.0,False,487,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y0_2
142,MI_Terrain_X0_Y0,texture_override,0.0,False,491,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y0_1
143,MI_Terrain_X7_Y7,texture_override,0.0,False,495,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X7_Y7_64
144,MI_Terrain_X6_Y7,texture_override,0.0,False,499,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X6_Y7_63
145,MI_Terrain_X5_Y7,texture_override,0.0,False,503,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X5_Y7_62
146,MI_Terrain_X4_Y7,texture_override,0.0,False,507,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X4_Y7_61
147,MI_Terrain_X3_Y7,texture_override,0.0,False,511,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X3_Y7_60
148,MI_Terrain_X2_Y7,texture_override,0.0,False,515,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y7_59
149,MI_Terrain_X1_Y7,texture_override,0.0,False,519,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y7_58
150,MI_Terrain_X0_Y7,texture_override,0.0,False,523,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y7_57
151,MI_Terrain_X0_Y6,texture_override,0.0,False,527,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X0_Y6_49
152,MI_Terrain_X1_Y6,texture_override,0.0,False,531,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X1_Y6_50
153,MI_Terrain_X2_Y6,texture_override,0.0,False,535,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X2_Y6_51
154,MI_Terrain_X3_Y6,texture_override,0.0,False,539,Metallic-Roughness.png,47,B,BC7_UNORM,assets/scene/JungleRuins_1_0_1b/textures/Terrain/Metallic-Roughness.png,decoded,0,0,0.0,0,1024,False,1,81608,E_X3_Y6_52
