material_id,material,base_color,emissive,roughness,metallic,opacity,opacity_threshold,ior,specular,clearcoat,clearcoat_roughness,lod0_submesh_count,all_lod_submesh_count,lod0_triangles,meshes,base_color_binding,base_color_texture,base_color_channel,base_color_format,normal_binding,normal_texture,normal_channel,normal_format,roughness_binding,roughness_texture,roughness_channel,roughness_format,metallic_binding,metallic_texture,metallic_channel,metallic_format,opacity_binding,opacity_texture,opacity_channel,opacity_format,emissive_binding,emissive_texture,emissive_channel,emissive_format
32,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,180159,RiverForest_03_Animated_Translucent,106,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,107,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,108,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,109,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
33,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,13648,RiverForest_01_Animated_Translucent,110,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,111,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,112,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
34,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,138066,RiverForest_01_Animated_Translucent,113,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,114,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,115,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
35,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,182873,RiverForest_01_Animated_Translucent,116,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,117,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,118,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,119,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
36,MI_RiverFamily_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,13624,RiverForest_05_Animated_Translucent,120,PX_Chamaecyparis_Pisifera_Bark_01_Albedo_Processed.png,RGB,BC1_UNORM,121,PX_Chamaecyparis_Pisifera_Bark_01_Normal_Processed.png,RGB,BC5_UNORM,122,PX_Chamaecyparis_Pisifera_Bark_01_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
37,MI_RiverFamily_Branches,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,137808,RiverForest_05_Animated_Translucent,123,PX_Pinus_Rigida_Bark_02_Albedo_Processed.png,RGB,BC1_UNORM,124,PX_Pinus_Rigida_Bark_02_Normal_Processed.png,RGB,BC5_UNORM,125,PX_Pinus_Rigida_Bark_02_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
38,MI_RiverFamily_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,182873,RiverForest_05_Animated_Translucent,126,PX_Prunus_x_yedoensis_Leaf_03_albedo.jpg,RGB,BC1_UNORM,127,PX_Prunus_x_yedoensis_Leaf_03_normal.jpg,RGB,BC5_UNORM,128,PX_Prunus_x_yedoensis_Leaf_03_roughness.jpg,R,BC4_UNORM,,,,,129,PX_Prunus_x_yedoensis_Leaf_03_opacity.jpg,R,BC4_UNORM,,,,
39,MI_QueenPalm_Trunk,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,2500,QueenForest_02_Animated_Translucent,130,palm_bark_diff_4k.jpg,RGB,BC1_UNORM,131,palm_bark_nor_gl_4k.exr,RGB,BC5_UNORM,132,palm_bark_rough_4k.exr,R,BC4_UNORM,,,,,,,,,,,,
40,MI_QueenPalm_Leaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,207400,QueenForest_02_Animated_Translucent,133,PX_Chamaedorea_elegans_Leaf_01_albedo_E.jpg,RGB,BC1_UNORM,134,PX_Chamaedorea_elegans_Leaf_01_normal.jpg,RGB,BC5_UNORM,135,PX_Chamaedorea_elegans_Leaf_01_roughness.jpg,R,BC4_UNORM,,,,,136,PX_Chamaedorea_elegans_Leaf_01_opacity.jpg,R,BC4_UNORM,,,,
41,MI_QueenPalm_FruitBranches,"[0.029557, 0.05127, 0.007499, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,38736,QueenForest_02_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
42,MI_QueenPalm_DriedBranches,"[0.059047, 0.053222, 0.048145, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,8160,QueenForest_02_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
43,MI_QueenPalm_Branches,"[0.029557, 0.05127, 0.007499, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,11136,QueenForest_02_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
44,MI_QueenPalm_OldBranches,"[0.114436, 0.070361, 0.049707, 1.0]","[0.0, 0.0, 0.0]",1.0,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,9216,QueenForest_02_Animated_Translucent,,,,,,,,,,,,,,,,,,,,,,,,
45,MI_QueenPalm_DeadLeaves_TwoSided,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.5,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,40256,QueenForest_02_Animated_Translucent,137,PX_Imperata_Cylindrica_Leaf_01_Albedo_Processed.png,RGB,BC1_UNORM,138,PX_Imperata_cylindrica_Leaf_01_normal.jpg,RGB,BC5_UNORM,139,PX_Imperata_cylindrica_Leaf_01_roughness.jpg,R,BC4_UNORM,,,,,140,PX_Imperata_cylindrica_Leaf_01_opacity.jpg,R,BC4_UNORM,,,,
46,MI_QueenPalm_Berries,"[1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]",0.5,0.0,1.0,0.0,1.4500000476837158,0.5,0.0,0.029999999329447746,1,4,110400,QueenForest_02_Animated_Translucent,141,MI_QueenForest_Berries_Albedo_Processed.png,RGB,BC1_UNORM,142,MI_QueenForest_Berries_Normal_Processed.png,RGB,BC5_UNORM,143,MI_QueenForest_Berries_Roughness_Processed.png,R,BC4_UNORM,,,,,,,,,,,,
